Municipality,Initial,Final,PS,PVI,LS,LVI,AL,Lechoso,Consistente,Maduro
Tapachula,04/05/2015,10/05/2015,0.9,0.8,0.2,0.4,1.1,2016.8,0,10.4
Huixtla,04/05/2015,10/05/2015,2.1,0.6,0.2,0,1.1,112,11,0
Villa Comaltitlan,04/05/2015,10/05/2015,0.9,0.8,0.1,0.2,0.6,216.5,9,0
Chicomuselo,04/05/2015,10/05/2015,0.4,0.3,0.1,0.1,0.1,17,0,0
Amatenango de la Frontera,04/05/2015,10/05/2015,0.3,0.2,0.1,0.1,0.1,0,0,0
Tuzantan,04/05/2015,10/05/2015,0.3,0.2,0,0,0.1,11,10,0
Motozintla,04/05/2015,10/05/2015,0,0.1,0,0,0,33,0,0
Tuxtla Chico,04/05/2015,10/05/2015,0,0,0,0,0.1,0,0,0
Tecpatan,04/05/2015,10/05/2015,0,0,0,0,-,-,-,-
Copainala,09/05/2016,15/05/2016,8.2,0.8,5,0.6,0,0,0,0
Coapilla,09/05/2016,15/05/2016,7.7,1.5,4.2,1.2,0,0,0,0
Ocotepec,09/05/2016,15/05/2016,6.4,3.2,3.8,2.5,0,0,0,0
San Fernando,09/05/2016,15/05/2016,6.2,1.3,2.4,1.4,0,0,0,0
Jitotol,09/05/2016,15/05/2016,3.5,0.8,1.6,0.4,0,0,0,0
Oxchuc,09/05/2016,15/05/2016,4.4,1.2,1.6,0.7,0,0,0,0
Tumbala,09/05/2016,15/05/2016,6.4,1.6,1.6,0.3,0,0,0,0
Yajalon,09/05/2016,15/05/2016,4,0.7,1.5,0.4,0,0,0,0
Tapilula,09/05/2016,15/05/2016,3.2,0.4,1.5,0.1,0,0,0,0
Santiago El Pinar,09/05/2016,15/05/2016,4.7,-,1.4,-,0,0,0,0
Tila,09/05/2016,15/05/2016,5.8,1.3,1.4,0.4,0,0,0,0
Chilon,09/05/2016,15/05/2016,3.6,0.5,1.4,0.3,0,0,0,0
Ocosingo,09/05/2016,15/05/2016,3.8,0.6,1.3,0.2,0,0,0,0
San Juan Cancuc,09/05/2016,15/05/2016,6.1,-,1.3,-,0,0,0,0
Ixhuatan,09/05/2016,15/05/2016,3.3,1,1.3,0.1,0,0,0,0
Pueblo Nuevo Solistahuacan,09/05/2016,15/05/2016,2.8,0.3,1.2,0.1,0,0,0,0
Sitala,09/05/2016,15/05/2016,4.9,1.2,1.1,0.4,0,0,0,0
Tenejapa,09/05/2016,15/05/2016,3.6,-,1.1,-,0,0,0,0
Chenalhe,09/05/2016,15/05/2016,3.6,-,1,-,0,0,0,0
La Trinitaria,09/05/2016,15/05/2016,3,0,1,0.2,-,-,-,-
Pantelho,09/05/2016,15/05/2016,3.3,-,0.9,-,0,0,0,0
La Independencia,09/05/2016,15/05/2016,2.8,0.4,0.8,0.3,0,0,0,0
Motozintla,09/05/2016,15/05/2016,2.3,-,0.8,-,0,0,0,0
Las Margaritas,09/05/2016,15/05/2016,3,0.1,0.8,0.2,0,0,0,0
Amatan,09/05/2016,15/05/2016,5.1,1.3,0.7,0.2,0,0,0,0
Chicomuselo,09/05/2016,15/05/2016,0.8,0.3,0.7,0.4,0,0,0,0
Simojovel de Allende,09/05/2016,15/05/2016,5.2,0.3,0.7,0,-,-,-,-
Frontera Comalapa,09/05/2016,15/05/2016,1.1,0.4,0.7,0.3,0,0,0,0
Siltepec,09/05/2016,15/05/2016,1.6,0.4,0.6,0.3,0,0,0,0
Huitiupan,09/05/2016,15/05/2016,4.2,3,0.6,0.4,0,0,0,0
El Bosque,09/05/2016,15/05/2016,4.5,1.3,0.6,0.1,0,0,0,0
Cacahoatan,09/05/2016,15/05/2016,1.2,1.1,0.5,1.3,0,0,0,0
Berriozabal,09/05/2016,15/05/2016,2.7,2.6,0.5,0.5,0,0,0,0
Escuintla,09/05/2016,15/05/2016,3.9,3.5,0.5,0.5,0.7,0,0,0
Bella Vista,09/05/2016,15/05/2016,0.8,0.8,0.4,0.4,0,0,0,0
Montecristo de Guerrero,09/05/2016,15/05/2016,2.7,0.4,0.4,0.3,0,0,0,0
Villa Comaltitlan,09/05/2016,15/05/2016,1.8,0.7,0.4,0.3,0,0,0,0
Amatenango de la Frontera,09/05/2016,15/05/2016,0.5,0.3,0.4,0.3,0,0,0,0
Motozintla,09/05/2016,15/05/2016,1.3,0.5,0.4,0.3,0,0,0,0
Villa Corzo,09/05/2016,15/05/2016,2.4,0.3,0.4,0.3,0,0,0,0
Huixtla,09/05/2016,15/05/2016,2.7,0.1,0.3,0.2,0,0,0,0
Tuzantan,09/05/2016,15/05/2016,1.6,0.4,0.3,0,0,0,0,0
Villaflores,09/05/2016,15/05/2016,1.3,0.7,0.3,0.3,0,0,0,0
Mapastepec,09/05/2016,15/05/2016,2,1.3,0.3,0.1,0,0,0,0
Angel Albino Corzo,09/05/2016,15/05/2016,2.3,0.4,0.3,0.1,0,0,0,0
Tapachula,09/05/2016,15/05/2016,1.7,0.9,0.3,0.3,0,0,0,0
Acacoyagua,09/05/2016,15/05/2016,2.6,0.1,0.2,0,0,0,0,0
La Concordia,09/05/2016,15/05/2016,1.7,0.6,0.2,0,0,0,0,0
Simojovel de Allende,09/05/2016,15/05/2016,1.1,0.5,0.2,0.1,0,0,0,0
Union Juarez,09/05/2016,15/05/2016,1.8,0.6,0.2,0.1,0,0,0,0
Huehuetan,09/05/2016,15/05/2016,2.4,-,0.2,-,0,0,0,0
Ocozocoautla de Espinosa,09/05/2016,15/05/2016,0.6,0.5,0.1,0.1,0,0,0,0
Cintalapa,09/05/2016,15/05/2016,0.2,0.1,0,0,0,0,0,0
Tuxtla Chico,09/05/2016,15/05/2016,0.1,0.2,0,0,0,0,0,0
Tecpatan,09/05/2016,15/05/2016,0,0,0,0,0,0,0,0
Jiquipilas,09/05/2016,15/05/2016,0,0,0,0,0,0,0,0
Ocotepec,11/05/2015,17/05/2015,15.8,6.4,5.2,1,-,-,-,-
Tila,11/05/2015,17/05/2015,4.8,1.2,2.7,0.9,-,-,-,-
Tumbala,11/05/2015,17/05/2015,3.4,1,2.2,1,-,-,-,-
Chilon,11/05/2015,17/05/2015,5,1,2.1,0.6,-,-,-,-
Yajalon,11/05/2015,17/05/2015,4.2,0.4,1.9,0.1,-,-,-,-
Cacahoatan,11/05/2015,17/05/2015,2.2,1.7,1.6,4,-,-,-,-
San Juan Cancuc,11/05/2015,17/05/2015,3.5,0.6,1.4,0.3,-,-,-,-
Chenalhe,11/05/2015,17/05/2015,2.8,0.3,1.3,0.2,-,-,-,-
El Bosque,11/05/2015,17/05/2015,2.8,0.3,1.1,0.2,-,-,-,-
Tapilula,11/05/2015,17/05/2015,3,0,1.1,0.2,-,-,-,-
Ixhuatan,11/05/2015,17/05/2015,2.5,0.2,0.8,0.1,-,-,-,-
Villa Corzo,11/05/2015,17/05/2015,3,0,0.8,0.1,-,-,-,-
Angel Albino Corzo,11/05/2015,17/05/2015,2.9,0.2,0.8,0.1,-,-,-,-
Simojovel de Allende,11/05/2015,17/05/2015,2.8,2.5,0.7,0.8,-,-,-,-
Amatan,11/05/2015,17/05/2015,2.5,0.9,0.7,0.5,-,-,-,-
Escuintla,11/05/2015,17/05/2015,6,1.9,0.6,0.2,-,-,-,-
Siltepec,11/05/2015,17/05/2015,0.4,0.3,0.5,0.5,-,-,-,-
Huitiupan,11/05/2015,17/05/2015,1.9,0.8,0.4,0.1,-,-,-,-
Tapachula,11/05/2015,17/05/2015,1.1,0.7,0.3,0.4,-,-,-,-
Tecpatan,11/05/2015,17/05/2015,0,0,0.2,0.5,-,-,-,-
Bella Vista,11/05/2015,17/05/2015,0.5,0.8,0.2,0.3,-,-,-,-
Villa Comaltitlan,11/05/2015,17/05/2015,0.9,0.8,0.1,0.2,-,-,-,-
Union Juarez,11/05/2015,17/05/2015,1,0.5,0.1,0.1,-,-,-,-
Huixtla,11/05/2015,17/05/2015,1.8,0.8,0.1,0.1,-,-,-,-
Chicomuselo,11/05/2015,17/05/2015,0.4,0.3,0.1,0.1,-,-,-,-
Amatenango de la Frontera,11/05/2015,17/05/2015,0.4,0.3,0.1,0.1,-,-,-,-
Tuzantan,11/05/2015,17/05/2015,0.2,0.2,0,0,-,-,-,-
Tuxtla Chico,11/05/2015,17/05/2015,0.5,0.9,0,0,-,-,-,-
Motozintla,11/05/2015,17/05/2015,0,0,0,0,-,-,-,-
Ocotepec,18/05/2015,24/05/2015,16,7.4,4.9,1.8,0.8,0,0,0
Chilon,18/05/2015,24/05/2015,4.3,1.3,2.1,0.7,2.3,13,0,3
Tila,18/05/2015,24/05/2015,4.4,0.8,2,0.6,0.9,4.5,0,0
Yajalon,18/05/2015,24/05/2015,4.3,0.4,1.9,0.6,0.7,0,0,0
Tumbala,18/05/2015,24/05/2015,5,1,1.8,0.2,1.6,0,0,0
El Bosque,18/05/2015,24/05/2015,2.8,0.4,1.2,0.3,1.1,4,0,0
Chenalhe,18/05/2015,24/05/2015,2.8,0.3,1.1,0.2,0.8,0,2,0
Tapilula,18/05/2015,24/05/2015,3.3,0.3,1.1,0,3.5,0,0,0
San Juan Cancuc,18/05/2015,24/05/2015,2.9,0.2,1.1,0.4,1,0,3,0
Ixhuatan,18/05/2015,24/05/2015,2.8,0.5,1,0.2,1.7,0,0,0
Cacahoatan,18/05/2015,24/05/2015,1.8,1.5,0.9,2.7,1.2,116.3,0,0
Amatan,18/05/2015,24/05/2015,2.8,0.5,0.8,0.9,3,0,0,0
Simojovel de Allende,18/05/2015,24/05/2015,2.2,1.7,0.5,0.5,0.4,0,0,0
Angel Albino Corzo,18/05/2015,24/05/2015,2.9,0.2,0.5,0.1,0.6,0,0,0
Escuintla,18/05/2015,24/05/2015,4.9,2.6,0.5,0.3,2,1033,84,0
Villa Corzo,18/05/2015,24/05/2015,3,0,0.4,0.1,0.6,0,0,0
Huitiupan,18/05/2015,24/05/2015,2,0.9,0.3,0.1,0.5,0,0,0
Villa Comaltitlan,18/05/2015,24/05/2015,1.2,0.7,0.2,0.3,0.5,128,74.5,4
Tapachula,18/05/2015,24/05/2015,3.5,13,0.2,0.4,1.1,1900,0,10.4
Bella Vista,18/05/2015,24/05/2015,0.7,0.7,0.2,0.3,0.8,5,0,0
Siltepec,18/05/2015,24/05/2015,0.1,0.1,0.1,0.2,-,-,-,-
Huixtla,18/05/2015,24/05/2015,1.5,1.1,0.1,0.1,0.6,65,2.5,0
Union Juarez,18/05/2015,24/05/2015,0.7,0.6,0.1,0.1,1.4,448,7,19.5
Tuzantan,18/05/2015,24/05/2015,0.4,0.4,0.1,0.1,0.1,48,0,0
Amatenango de la Frontera,18/05/2015,24/05/2015,0.2,0.2,0,0,0,72,0,0
Tuxtla Chico,18/05/2015,24/05/2015,0.3,0.4,0,0,0.1,0,0,0
Motozintla,18/05/2015,24/05/2015,0,0,0,0,0,39,0,0
Chicomuselo,18/05/2015,24/05/2015,0,0.1,0,0,0,19,0,0
Tecpatan,18/05/2015,24/05/2015,0,0,0,0,-,-,-,-
Copainala,23/05/2016,29/05/2016,9.1,-,5.9,-,0.5,0,0,0
Ocotepec,23/05/2016,29/05/2016,8.3,-,5.1,-,0,0,0,0
Coapilla,23/05/2016,29/05/2016,9.4,-,4.6,-,0,0,0,0
Frontera Comalapa,23/05/2016,29/05/2016,6.7,12.9,2.7,5.1,0,0,0,0
Jitotol,23/05/2016,29/05/2016,4.4,-,2.1,-,0,0,0,0
Yajalon,23/05/2016,29/05/2016,4.6,-,2,-,0,0,0,0
Santiago El Pinar,23/05/2016,29/05/2016,3,0,1.9,0.3,-,-,-,-
San Juan Cancuc,23/05/2016,29/05/2016,4,1.4,1.8,0.5,0,0,0,0
Chilon,23/05/2016,29/05/2016,3.6,0.9,1.5,0.6,0,0,0,0
Tumbala,23/05/2016,29/05/2016,5.4,0.4,1.4,0.2,0,0,0,0
Tenejapa,23/05/2016,29/05/2016,3,0,1.4,0.7,0,0,0,0
Ocosingo,23/05/2016,29/05/2016,3.8,0.3,1.4,0.4,0,0,0,0
Tapilula,23/05/2016,29/05/2016,3,-,1.4,-,0,0,0,0
Tila,23/05/2016,29/05/2016,4.6,1,1.2,0.3,0,0,0,0
Ixhuatan,23/05/2016,29/05/2016,2.8,0.3,1.1,0.1,0,0,0,0
Pueblo Nuevo Solistahuacan,23/05/2016,29/05/2016,2.3,-,1.1,-,0,0,0,0
Sitala,23/05/2016,29/05/2016,4.5,1.3,1.1,0.3,0,0,0,0
Pantelho,23/05/2016,29/05/2016,3.1,0.2,1.1,0.3,0,0,0,0
Oxchuc,23/05/2016,29/05/2016,3.5,0.2,1,0.2,0,0,0,0
Chenalhe,23/05/2016,29/05/2016,3,0,1,0.1,-,-,-,-
Chenalhe,23/05/2016,29/05/2016,3.6,-,0.9,-,0,0,0,0
Simojovel de Allende,23/05/2016,29/05/2016,6.3,0.5,0.9,0.2,-,-,-,-
Las Margaritas,23/05/2016,29/05/2016,3,0,0.9,0.1,0,0,0,0
Amatan,23/05/2016,29/05/2016,4.9,1.6,0.8,0.3,0,0,0,0
La Trinitaria,23/05/2016,29/05/2016,2.9,0.2,0.7,0.1,0,0,0,0
La Independencia,23/05/2016,29/05/2016,2.6,0.9,0.7,0.3,0,0,0,0
Escuintla,23/05/2016,29/05/2016,1.4,0.8,0.6,1.3,0,0,0,0
Huitiupan,23/05/2016,29/05/2016,4,4.3,0.6,0.6,0,0,0,0
Tecpatan,23/05/2016,29/05/2016,1.6,2.7,0.4,0.8,0.5,21.3,0,0
Siltepec,23/05/2016,29/05/2016,1.1,0.6,0.4,0.3,0,0,0,0
Ocozocoautla de Espinosa,23/05/2016,29/05/2016,1.8,0.2,0.3,0.1,0,0,0,0
El Bosque,23/05/2016,29/05/2016,2.5,0.8,0.3,0.1,0,0,0,0
Huixtla,23/05/2016,29/05/2016,2.6,0,0.3,0,0,0,0,0
Mapastepec,23/05/2016,29/05/2016,2.1,1.2,0.3,0.2,0,0,0,0
Montecristo de Guerrero,23/05/2016,29/05/2016,2.2,0.4,0.3,0.2,0,0,0,0
Berriozabal,23/05/2016,29/05/2016,1.3,1.3,0.3,0.3,0,0,0,0
Acacoyagua,23/05/2016,29/05/2016,2.6,0.1,0.3,0,0,0,0,0
Villaflores,23/05/2016,29/05/2016,2.2,1.5,0.3,0.1,0,0,0,0
Villa Comaltitlan,23/05/2016,29/05/2016,1.7,0.8,0.2,0.2,0,0,0,0
Villa Corzo,23/05/2016,29/05/2016,2.4,0.1,0.2,0.1,0,0,0,0
Angel Albino Corzo,23/05/2016,29/05/2016,2.3,0.4,0.2,0.1,0,0,0,0
Motozintla,23/05/2016,29/05/2016,1.1,0.6,0.2,0.2,0,0,0,0
Bella Vista,23/05/2016,29/05/2016,0.5,0.5,0.2,0.2,0,0,0,0
Tapachula,23/05/2016,29/05/2016,1.5,1,0.2,0.1,0,0,0,0
Huehuetan,23/05/2016,29/05/2016,2.4,-,0.2,-,0,0,0,0
Tuzantan,23/05/2016,29/05/2016,1.4,0.3,0.2,0.1,0,0,0,0
Cintalapa,23/05/2016,29/05/2016,1.1,0.2,0.1,0.1,0,0,0,0
La Concordia,23/05/2016,29/05/2016,1.8,0.8,0.1,0,0,0,0,0
Chicomuselo,23/05/2016,29/05/2016,0.3,0.5,0.1,0.2,0,0,0,0
Simojovel de Allende,23/05/2016,29/05/2016,0.6,0.7,0.1,0.1,0.9,43,0,0
Jiquipilas,23/05/2016,29/05/2016,1,0.9,0.1,0.1,0,0,0,0
Cacahoatan,23/05/2016,29/05/2016,0.6,0.7,0.1,0.2,0,0,0,0
Union Juarez,23/05/2016,29/05/2016,1,0.3,0.1,0,0,0,0,0
Amatenango de la Frontera,23/05/2016,29/05/2016,0.2,0.3,0,0.1,0,0,0,0
Tuxtla Chico,23/05/2016,29/05/2016,0.1,0.2,0,0,0,0,0,0
Ocotepec,25/05/2015,31/05/2015,15.1,7.4,4.3,1.3,-,-,-,-
Chilon,25/05/2015,31/05/2015,4.4,0.9,2.6,0.7,-,-,-,-
Yajalon,25/05/2015,31/05/2015,4.7,0.3,2.5,0.7,-,-,-,-
Tumbala,25/05/2015,31/05/2015,5.0,1.0,1.8,0.2,-,-,-,-
Tila,25/05/2015,31/05/2015,4.5,1.1,1.8,0.8,-,-,-,-
San Juan Cancuc,25/05/2015,31/05/2015,3.4,0.5,1.4,0.1,-,-,-,-
Cacahoatan,25/05/2015,31/05/2015,1.9,1.5,1.1,3.3,-,-,-,-
El Bosque,25/05/2015,31/05/2015,3.3,0.7,1.1,0.3,-,-,-,-
Tapilula,25/05/2015,31/05/2015,3.3,0.3,0.9,0.3,-,-,-,-
Ixhuatan,25/05/2015,31/05/2015,3.0,0.6,0.9,0.1,-,-,-,-
Chenalhe,25/05/2015,31/05/2015,2.8,0.3,0.9,0.1,-,-,-,-
Amatan,25/05/2015,31/05/2015,2.7,0.6,0.8,0.7,-,-,-,-
Escuintla,25/05/2015,31/05/2015,6.0,1.9,0.7,0.2,-,-,-,-
Simojovel de Allende,25/05/2015,31/05/2015,2.7,2.0,0.6,0.5,-,-,-,-
Huitiupan,25/05/2015,31/05/2015,1.8,0.8,0.4,0.1,-,-,-,-
Angel Albino Corzo,25/05/2015,31/05/2015,2.9,0.2,0.3,0.0,-,-,-,-
Villa Corzo,25/05/2015,31/05/2015,3.0,0.0,0.3,0.0,-,-,-,-
Amatenango de la Frontera,25/05/2015,31/05/2015,0.8,1.8,0.2,0.5,-,-,-,-
Tapachula,25/05/2015,31/05/2015,0.8,0.7,0.2,0.4,-,-,-,-
Bella Vista,25/05/2015,31/05/2015,0.7,0.5,0.2,0.2,-,-,-,-
Villa Comaltitlan,25/05/2015,31/05/2015,1.2,0.9,0.2,0.3,-,-,-,-
Huixtla,25/05/2015,31/05/2015,1.7,0.8,0.1,0.0,-,-,-,-
Tuzantan,25/05/2015,31/05/2015,0.7,0.4,0.1,0.1,-,-,-,-
Union Juarez,25/05/2015,31/05/2015,0.6,0.5,0.1,0.0,-,-,-,-
Chicomuselo,25/05/2015,31/05/2015,0.1,0.2,0.0,0.0,-,-,-,-
Tuxtla Chico,25/05/2015,31/05/2015,0.1,0.1,0.0,0.0,-,-,-,-
Motozintla,25/05/2015,31/05/2015,0.0,0.0,0.0,0.0,-,-,-,-
Tecpatan,25/05/2015,31/05/2015,0.0,0.0,0.0,0.0,-,-,-,-
Siltepec,25/05/2015,31/05/2015,0.0,0.1,0.0,0.0,-,-,-,-
Chilon,01/06/2015,07/06/2015,4.5,1.1,2.9,1.2,2.1,18.5,0.0,0.0
Ocotepec,01/06/2015,07/06/2015,11.2,4.4,2.7,0.6,0.8,0.0,0.0,0.0
Tumbala,01/06/2015,07/06/2015,4.8,0.4,2.5,0.5,1.6,0.0,0.0,0.0
Yajalon,01/06/2015,07/06/2015,3.9,0.8,2.2,1.5,1.0,9.0,0.0,0.0
Cacahoatan,01/06/2015,07/06/2015,2.0,1.4,1.2,3.5,1.4,106.3,0.0,0.0
Tila,01/06/2015,07/06/2015,2.8,1.8,1.2,1.2,1.1,13.5,0.0,0.0
Chenalhe,01/06/2015,07/06/2015,2.9,0.4,1.2,0.1,0.9,0.0,2.0,0.0
El Bosque,01/06/2015,07/06/2015,3.0,0.6,1.2,0.2,1.1,4.0,0.0,0.0
San Juan Cancuc,01/06/2015,07/06/2015,3.0,0.1,1.1,0.3,1.0,0.0,3.0,0.0
Tapilula,01/06/2015,07/06/2015,3.0,0.3,1.0,0.2,4.3,0.0,0.0,0.0
Ixhuatan,01/06/2015,07/06/2015,3.2,1.2,1.0,0.2,3.7,0.0,0.0,0.0
Amatan,01/06/2015,07/06/2015,1.8,1.2,0.8,1.0,3.5,0.0,0.0,0.0
Escuintla,01/06/2015,07/06/2015,4.8,2.5,0.6,0.3,1.9,1161.3,223.3,0.0
Simojovel de Allende,01/06/2015,07/06/2015,2.4,2.1,0.6,0.4,0.5,0.0,0.0,0.0
Huitiupan,01/06/2015,07/06/2015,1.5,0.4,0.4,0.1,0.5,0.0,0.0,0.0
Angel Albino Corzo,01/06/2015,07/06/2015,2.9,0.2,0.3,0.0,0.6,0.0,0.0,0.0
Villa Corzo,01/06/2015,07/06/2015,3.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0
Tapachula,01/06/2015,07/06/2015,0.9,0.7,0.2,0.3,1.6,560.6,692.0,0.0
Villa Comaltitlan,01/06/2015,07/06/2015,1.0,0.8,0.2,0.4,0.4,103.0,90.5,0.0
Bella Vista,01/06/2015,07/06/2015,0.5,0.4,0.2,0.3,1.1,28.0,0.0,0.0
Union Juarez,01/06/2015,07/06/2015,0.6,0.6,0.2,0.2,1.3,472.0,30.5,0.0
Motozintla,01/06/2015,07/06/2015,0.6,0.8,0.1,0.3,0.8,35.7,0.7,0.0
Huixtla,01/06/2015,07/06/2015,1.5,1.0,0.1,0.1,0.4,14.0,38.5,0.0
Tuzantan,01/06/2015,07/06/2015,0.8,0.7,0.1,0.1,0.0,48.0,0.0,0.0
Chicomuselo,01/06/2015,07/06/2015,0.1,0.2,0.0,0.0,0.0,36.0,17.0,0.0
Tuxtla Chico,01/06/2015,07/06/2015,0.0,0.1,0.0,0.0,-,-,-,-
Tecpatan,01/06/2015,07/06/2015,0.0,0.0,0.0,0.0,-,-,-,-
Siltepec,01/06/2015,07/06/2015,0.0,0.0,0.0,0.0,-,-,-,-
Amatenango de la Frontera,01/06/2015,07/06/2015,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0
Coapilla,06/06/2016,12/06/2016,9.4,-,5.8,-,2.5,0.0,0.0,0.0
Ocotepec,06/06/2016,12/06/2016,8.3,-,5.7,-,1.7,0.0,0.0,0.0
Copainala,06/06/2016,12/06/2016,8.3,-,5.3,-,3.1,0.0,0.0,0.0
Jitotol,06/06/2016,12/06/2016,4.4,-,2.1,-,1.0,0.0,0.0,0.0
San Fernando,06/06/2016,12/06/2016,4.4,-,2.1,-,1.6,0.0,0.0,0.0
Yajalon,06/06/2016,12/06/2016,4.7,-,1.9,-,1.1,212.0,31.0,0.0
Chilon,06/06/2016,12/06/2016,4.3,1.8,1.7,9.2,2.5,779.0,0.0,0.0
Santiago El Pinar,06/06/2016,12/06/2016,3.6,1.0,1.5,0.0,4.5,0.0,82.0,55.0
Ocosingo,06/06/2016,12/06/2016,3.6,-,1.4,-,0.4,165.0,3.0,0.0
Tapilula,06/06/2016,12/06/2016,3.0,-,1.4,-,0.5,0.0,0.0,0.0
Tumbala,06/06/2016,12/06/2016,5.6,1.0,1.2,0.0,2.2,56.0,33.0,0.0
Chenalho,06/06/2016,12/06/2016,3.8,0.5,1.2,0.0,-,-,-,-
Ixhuatan,06/06/2016,12/06/2016,2.8,0.3,1.1,9.2,0.1,8.0,0.0,0.5
Pueblo Nuevo Solistahuacan,06/06/2016,12/06/2016,2.3,-,1.1,-,1.1,0.0,0.0,0.0
Las Margaritas,06/06/2016,12/06/2016,4.2,3.3,1.1,8.8,0.9,0.0,287.5,2.5
Tila,06/06/2016,12/06/2016,4.7,2.0,1.1,44.5,1.0,46.0,25.0,0.0
San Juan Cancuc,06/06/2016,12/06/2016,3.8,1.5,1.0,0.0,1.4,27.0,0.0,0.0
Pantelho,06/06/2016,12/06/2016,3.0,0.3,0.9,2.9,1.3,0.0,3.0,0.0
Oxchuc,06/06/2016,12/06/2016,3.4,-,0.9,-,0.4,0.0,0.0,0.0
Amatan,06/06/2016,12/06/2016,5.7,-,0.9,-,1.6,230.0,5.0,0.0
Chenalhe,06/06/2016,12/06/2016,3.6,-,0.9,-,1.4,140.0,7.0,0.0
La Trinitaria,06/06/2016,12/06/2016,3.0,0.0,0.9,0.0,0.5,0.0,29.0,5.0
La Independencia,06/06/2016,12/06/2016,2.8,0.3,0.7,2.0,0.8,0.0,69.5,1.0
Berriozabal,06/06/2016,12/06/2016,3.0,1.5,0.6,10.9,4.2,37.0,0.0,0.0
Tenejapa,06/06/2016,12/06/2016,2.7,0.5,0.6,0.0,0.7,0.0,0.0,2.0
Sitala,06/06/2016,12/06/2016,3.4,-,0.6,-,0.9,0.0,0.0,0.0
El Bosque,06/06/2016,12/06/2016,3.3,-,0.4,-,0.4,572.0,2.0,0.0
Mapastepec,06/06/2016,12/06/2016,2.2,1.1,0.4,0.0,2.6,0.0,0.0,0.0
Acacoyagua,06/06/2016,12/06/2016,2.6,0.1,0.4,0.0,0.2,169.0,0.0,0.0
Huixtla,06/06/2016,12/06/2016,2.6,0.0,0.4,0.0,0.2,143.5,0.0,0.0
Montecristo de Guerrero,06/06/2016,12/06/2016,1.2,-,0.2,-,1.2,0.0,0.0,0.0
Tapachula,06/06/2016,12/06/2016,1.7,0.9,0.2,1.4,1.8,6.2,0.0,0.0
Huitiupan,06/06/2016,12/06/2016,1.5,-,0.2,-,0.3,128.0,0.0,0.0
Angel Albino Corzo,06/06/2016,12/06/2016,1.4,0.3,0.2,0.0,0.7,0.0,0.0,0.0
Huehuetan,06/06/2016,12/06/2016,2.4,-,0.2,-,0.2,276.0,0.0,0.0
Siltepec,06/06/2016,12/06/2016,0.7,0.3,0.2,2.0,0.1,0.0,0.0,0.0
Escuintla,06/06/2016,12/06/2016,1.1,0.7,0.2,27.3,0.0,196.0,584.0,0.3
Motozintla,06/06/2016,12/06/2016,1.0,-,0.2,-,0.2,308.0,0.0,0.0
Cacahoatan,06/06/2016,12/06/2016,0.6,1.0,0.2,6.7,0.4,156.8,25.5,0.0
Bella Vista,06/06/2016,12/06/2016,0.4,0.3,0.2,10.1,0.2,0.0,0.0,0.0
Ocozocoautla de Espinosa,06/06/2016,12/06/2016,1.6,0.6,0.2,0.9,0.6,0.0,0.0,0.0
Motozintla,06/06/2016,12/06/2016,0.7,0.3,0.1,2.6,0.1,288.0,0.0,0.0
Simojovel de Allende,06/06/2016,12/06/2016,1.1,0.3,0.1,0.0,0.1,486.5,3.0,0.0
Jiquipilas,06/06/2016,12/06/2016,0.7,0.8,0.1,3.9,0.0,0.0,0.0,0.0
Villaflores,06/06/2016,12/06/2016,0.6,0.4,0.1,0.9,0.4,0.0,0.0,0.0
Villa Comaltitlan,06/06/2016,12/06/2016,0.7,0.6,0.1,0.9,0.9,43.5,0.5,6.0
Tuzantan,06/06/2016,12/06/2016,0.8,0.2,0.1,0.0,0.2,33.0,75.5,2.5
Union Juarez,06/06/2016,12/06/2016,0.9,0.4,0.1,0.0,0.0,117.5,148.5,0.0
Cintalapa,06/06/2016,12/06/2016,0.7,0.2,0.1,0.0,0.3,0.0,0.0,0.0
Chicomuselo,06/06/2016,12/06/2016,0.1,0.2,0.0,4.0,0.0,52.0,0.0,0.0
Amatenango de la Frontera,06/06/2016,12/06/2016,0.1,0.2,0.0,2.9,0.0,70.0,0.0,0.0
La Concordia,06/06/2016,12/06/2016,0.2,-,0.0,-,0.1,0.0,0.0,0.0
Villa Corzo,06/06/2016,12/06/2016,0.1,-,0.0,-,0.1,0.0,0.0,0.0
Tuxtla Chico,06/06/2016,12/06/2016,0.0,0.1,0.0,0.3,0.0,22.0,0.0,0.0
Frontera Comalapa,06/06/2016,12/06/2016,0.0,0.0,0.0,0.0,-,-,-,-
Tecpatan,06/06/2016,12/06/2016,0.0,-,0.0,-,0.0,0.0,0.0,0.0
Ocotepec,15/06/2015,21/06/2015,10.3,4.0,2.8,0.3,0.7,0.0,0.0,0.0
Tumbala,15/06/2015,21/06/2015,4.5,2.7,2.8,2.1,1.9,10.0,0.0,0.0
Chilon,15/06/2015,21/06/2015,4.6,1.3,2.6,1.1,2.8,76.0,0.0,0.0
Tila,15/06/2015,21/06/2015,3.7,2.4,2.1,2.0,1.2,5.0,17.0,0.0
Yajalon,15/06/2015,21/06/2015,4.5,1.2,1.9,0.7,1.0,310.0,17.0,0.0
